,specific_price,specific_price_std,specific_price_rat,vol_price,num_SMs,num_source,sources,specific_prices,molecular_formula,mu,original_names,specific_price_element
MgO,0.10641014696885627,0.6127733242461284,5.76,,3,5,"Alibaba, DERA, Echemi, Indiamart, Steinmann 2022","0.11, 0.32, 0.56, 0.83, 0.95, 1.84",MgO,40.304,"MAGNESIT, MgO",1.4601887
MgSO4,0.1525289611915678,9.44691617491789,61.94,,2,3,"Alibaba, Alva 2018, Indiamart","0.15, 0.19, 16.54",MgSO4,120.361,MgSO4,0.5750346
Mischmetal,6.885122657287255,,,,0,1,USGS,6.89,C3CeH8LaNd,467.36047,Rare Earths Mischmetal,
Mn,0.00748657962499053,1.6797589361008054,224.37,,3,2,"ISE, USGS","0.01, 2.38",Mn,54.938043,"Manganese Briquette, Manganese Lump, Manganese CN_CIF",1.82
MnO2,0.3724355143909969,0.8450598339696374,2.27,,6,4,"Alibaba, ISE, Indiamart, Li 2017","0.37, 0.48, 1.87, 1.91",MnO2,86.936043,"Manganese dioxides, MnO2",1.2068059
MnSO4,0.4256405878754251,0.40014793064299903,0.94,,1,3,"Alibaba, ISE, Indiamart","0.43, 0.55, 1.17",MnSO4,150.994043,Manganese sulphates,0.7471247
Mo,30.126698751325147,15.232963516984684,0.51,,0,3,"ISE, SMM, USGS","30.13, 51.86, 59.48",Mo,95.95,"Brushed molybdenum strip, Molybdenum, Molybdenum Fine (second grade), Molybdenum Fines (first grade), Molybdenum strip, Molybdenum , Molybdenum Powder, Molybdenum Rod, Molybdenum bar",40.1
MoO3,30.506723540910063,24.1923131797258,0.79,,0,2,"ISE, SMM","30.51, 64.72",MoO3,143.947,"High-purity Molybdenum Trioxide, Molybdenum Oxide, FOB, China, Molybdenum ores and concentrates, roasted 45%, Molybdenum ores and concentrates, roasted 50%, Molybdenum oxides and hydroxides, Molybdenum oxides",26.7805966
MoS2,31.318051980040686,3.416378982093188,0.11,,1,4,"Alibaba, ISE, Indiamart, Li 2017","31.32, 36.66, 36.98, 39.42",MoS2,160.07,"MoS2, Molybdenum Conc.",24.0740458
Mobiltherm 605,2.5607133663408597,0.7016772200120226,0.27,,1,2,"Indiamart, Steinmann 2022","2.56, 3.55",,,Mobiltherm 605,
N-Propane,1.2609602415809469,,,,0,1,Chemanalyst,1.26,C3H8,44.097,,
N-hexane,1.5195368987152678,0.23024460971673016,0.15,,1,2,"Chemanalyst, Echemi","1.52, 1.85",C6H14,86.178,,
N-pentane,1.6897691100469203,,,,1,1,Antunez 2018,1.69,,,N-pentane,
N-propane,0.6034889678739002,,,,1,1,Antunez 2018,0.6,,,N-propane,
N-propanol,1.2315201505776319,,,,0,1,Echemi,1.23,C3H80,116.673,,
N2,0.1612,0.0533631927193343,0.33,,2,2,"Rutherford & Titan, Salerno 2002","0.16, 0.24",N2,28.014,Liquid Nitrogen,0.14
NCA,41.88692920000494,30.576137526584027,0.73,,1,2,"Alibaba, Li 2017","41.89, 85.13",LiNi0.8Co0.15Al0.05O2,96.081776,NCA,
NCM111,24.639370117649968,26.970902845798413,1.09,,1,2,"Alibaba, Li 2017","24.64, 62.78",LiNi0.33Co0.33Mn0.33O2,95.8843302,NCM111,
NCM622,30.799212647062458,23.367669787296908,0.76,,1,2,"Alibaba, Li 2017","30.8, 63.85",LiNi0.6Co0.2Mn0.2O2,96.9282874,NCM622,
NEC,45.00085115312932,,,,1,1,Southhall 2022,45.0,C14H25N,207.361,N-ethylcarbazole,
NH4Cl,0.17247559082354977,,,,0,1,Li 2017,0.17,NH4Cl,53.489,NH4Cl,0.1957853
NH4VO3,20.10179176995932,,,,0,1,ISE,20.1,NH4VO3,116.9775,Ammonium metavanadate,161.6913808
NMC811,27.832895945668312,,,,0,1,Schnell 2020,27.83,,,NMC811,
NMO,6.159842529412492,,,,1,1,Li 2017,6.16,Na0.44MnO2,97.0515415,NMO,
NTP,12.319685058824984,,,,1,1,Li 2017,12.32,NaTi2(PO4)3,403.6330553,NTP,
NV,32.180338382754904,,,,0,1,ISE,32.18,NV,64.9485,Vanadium nitrides,291.0191533
Na,2.368689871526741,0.6724510604791112,0.28,,25,8,"Alibaba, Alva 2018, Antunez 2018, Indiamart, Kim 2013, Li 2017, SMM, Steinmann 2022","2.37, 2.41, 3.19, 3.22, 3.46, 3.7, 4.19",Na,22.9897693,"Na, Sodium, Sodium (Na)",3.0
Na2CO3,0.18673216539551105,1.2424515852790412,6.65,,3,7,"Alibaba, Alva 2018, Echemi, Indiamart, Liu 2016, Ray 2021, USGS","0.19, 0.26, 0.29, 0.39, 0.41, 0.55, 3.62",Na2CO3,105.9875386,"Na2CO3, Soda Ash ",1.385026
Na2S,0.8870173242353987,,,,0,1,Li 2017,0.89,Na2S,78.0395386,Na2S,1.8055895
Na2SO4,0.08246786390086361,1.7899972594294191,21.71,,1,5,"Alibaba, Alva 2018, Echemi, Indiamart, Li 2017","0.08, 0.09, 0.1, 0.14, 4.1",Na2SO4,142.0355386,Na2SO4,1.0614439
Na2WO4,17.772845931064076,,,,0,1,ISE,17.77,Na2WO4,293.8155386,Sodium Tungstate,22.5901803
Na2Zn(OH)4,0.8377385840000989,,,,0,1,Li 2017,0.84,Na2Zn(OH)4,179.3875386,Na2Zn(OH)4,1.7845023
NaBr,1.8602724438825724,0.8999782533090633,0.48,,2,3,"Alibaba, Indiamart, Li 2017","1.86, 1.94, 3.46",NaBr,102.8937693,NaBr,4.0794294
NaCl,0.029608623394084255,1.2557431292366075,42.41,,7,7,"Alibaba, Alva 2018, Indiamart, Li 2017, Ray 2021, Steinmann 2022, USGS","0.03, 0.05, 0.06, 0.13, 3.38",NaCl,58.4397693,"NaCl, Salt Brine, Salt Rock, Salt Solar, Salt Vacuum",1.2299194
NaF,2.0297396020050735,3.9801627804351334,1.96,,8,3,"Alva 2018, Indiamart, Ray 2021","2.03, 2.56, 9.17",NaF,41.9881724,NaF,2.5475296
NaHCO3,0.3873329349666368,,,,0,1,Echemi,0.39,NaHCO3,84.0057693,,0.9431175
NaK,2.4139558714956006,0.0,0.0,,0,2,"Alva 2018, Antunez 2018",2.41,NaK,62.0880693,"Eutectic Na-K, Sodium(22.2%)epotassium (77.8%) eutectic (NaK)",9.2027739
NaMo2O4,14.838932788265955,,,,0,1,ISE,14.84,NaMo2O4,278.8857693,Sodium Molybdate,27.8752649
NaNO3,0.7106069614580224,3.6439581670998895,5.13,,6,3,"Alva 2018, Indiamart, Steinmann 2022","0.71, 1.18, 7.24",NaNO3,84.9937693,NaNO3,0.9215008
NaOH,0.2898740095608007,1.9807220249696942,6.83,,1,5,"Alibaba, Alva 2018, Echemi, Indiamart, Li 2017","0.29, 0.42, 0.68, 0.77, 4.95",NaOH,39.9967693,NaOH,1.8210039
Naphthalene,0.6810249406006801,0.5754323948586941,0.84,,1,2,"Chemanalyst, Southhall 2022","0.68, 1.49","C10H18, C10H8",138.254,Naphthalene,
Nb,24.91000576607644,59.39752092010204,2.38,,0,2,"SMM, USGS","108.91, 24.91",Nb,92.90637,"Niobium, Niobium (Columbium) ",73.5
Nb2O5,39.22278017272042,4.676588507211852,0.12,,0,3,"DERA, ISE, SMM","39.22, 42.16, 43.43, 50.27",Nb2O5,265.80774,"NIOB, Niobium Conc., Niobium pentoxides, Niobium Pentoxide 99.5%",51.426477
Nd,175.04469176376855,,,,0,1,DERA,175.04,,,Neodymium (metal),57.5
Nd2O3,57.6596414881215,59.87396341704857,1.04,,0,2,"DERA, USGS","142.33, 57.66",Nd2O3,336.481,"Neodymium (oxide), Rare Earths Nd2O3",49.3199365
Ni,9.012931697282262,12.92857865102229,1.43,,7,5,"Alibaba, DERA, Ray 2021, SMM, USGS","15.76, 30.69, 37.24, 37.26, 9.01",Ni,58.6934,"Import Nickel, JinChuan Nickel, Nickel Briquettes, SMM Nickel, NICKEL, Nickel , Nickel (Ni)",13.9
Ni(OH)2,24.639370117649968,,,,6,1,Li 2017,24.64,Ni(OH)2,92.7074,Ni(OH)2,8.8835216
NiCl,13.496861342924113,,,,0,1,Li 2017,13.5,NiCl,94.1434,NiCl2 6H2O,8.6967877
NiCl2,8.438324654630302,4.9353270712355295,0.58,,1,2,"Alibaba, Indiamart","15.42, 8.44",NiCl2,129.5934,,6.3402308
NiSO4,5.320507348442813,0.5906601915935731,0.11,,1,2,"Alibaba, Indiamart","5.32, 6.16",NiSO4,154.7494,,5.3548666
P2-NMO,18.479527588237474,,,,0,1,Li 2017,18.48,Na0.67Mn0.67Ni0.33O2,103.5784562,P2-Na2Mn2NiO6,
PPy-AC,36.95905517647495,,,,1,1,Li 2017,36.96,,,PPy-AC,
PTFE,23.67448448287726,,,,0,1,Huang 2021,23.67,,,PTFE,
PVDF,23.67448448287726,,,,0,1,Huang 2021,23.67,,,PVDF,
Pb,1.7451264102892428,0.5767683263620358,0.33,,10,7,"Alibaba, DERA, Indiamart, Kim 2013, Li 2017, SMM, USGS","1.75, 1.85, 2.35, 2.59, 2.63, 3.11, 3.26",Pb,207.2,"BLEI, Lead - Guangdong, Lead - Henan, Lead -Tianjin, SMM Lead, Lead LME, Lead North_American, Pb",2.0
Pb2Sb,3.695905517647495,,,,0,1,Li 2017,3.7,Pb2Sb,536.16,Pb2Sb,2.8606953
PbBi,15.690713164721405,,,,0,1,Alva 2018,15.69,PbBi,416.1804,Lead(44.5%)ebismuth(55.5%) eutectic (LBE),4.1893259
PbCO3,4.788456613598532,,,,1,1,Alibaba,4.79,PbCO3,267.208,,1.5839978
PbO,2.0696773585442543,,,,1,1,Alibaba,2.07,PbO,223.199,,1.8676779
Pd,2.13729365477956,37684.0751364002,17631.68,,0,3,"DERA, Kitco, USGS","2.14, 62402.06, 67807.5",Pd,106.42,"PALLADIUM, Platinum-Group Metals Palladium",49500.0
Peat,0.033441257141781526,,,,0,1,USGS,0.03,K,39.0983,Peat ,
Perlite,0.08589487076733521,,,,0,1,USGS,0.09,Al2CaFe2K2MgNa2O12Si,574.2852154,Perlite FOB,
Phosphorite,0.09495887679657722,,,,0,1,USGS,0.09,Ca5(PO4)3F,504.2976892,Phosphate Rock ,
Polysilicon,1.6089214221691068,24.972255518087657,15.52,,2,3,"Alibaba, ISE, Li 2017","1.61, 12.54, 49.28",Si,28.085,"Si, Silicon polysilicon",
Pr,185.50480921080714,,,,0,1,DERA,185.5,,,Praseodymium (metal),103.0
Pr2O3,123.68051382190164,,,,0,1,DERA,123.68,,,Praseodymium (oxide),88.0330046
Pt,1.2494886078931315,20138.1896549773,16117.15,,0,3,"DERA, Kitco, USGS","1.25, 34622.2, 35135.37",Pt,195.084,"PLATIN, Platinum-Group Metals Platinum",27800.0
PtO2,15.96152204532844,,,,1,1,Alibaba,15.96,PtO2,227.082,,23882.7389564
Pumice,0.04243860427015772,,,,1,1,USGS,0.04,C28FH37O7,504.5954032,Pumice and Pumicite ,
Quartz,389.4142032659936,,,,0,1,USGS,389.41,SiO2,60.083,"Quartz Crystal (Industrial) Cultured, Quartz Crystal (Industrial) Lumbered",
Rb,134043.38220162955,,,,0,1,SMM,134043.38,Rb,85.4678,Rubidium(Rb≥99.5%),15500.0
Rb2CO3,1130.9696060437918,,,,0,1,SMM,1130.97,Rb2CO3,230.9436,Rubidium Carbonate(Rb2CO3≥99%),11472.5441921
Re,1510.6471445277873,1232.655229567224,0.82,,0,3,"ISE, SMM, USGS","1510.65, 1785.78, 3769.9",Re,186.207,"Rhenium, Rhenium APR, Rhenium Metal, Rhenium NH4ReO4",3580.0
Rh,10.83735702550701,301173.9488974213,27790.35,,0,2,"Kitco, USGS","10.84, 425935.12",Rh,102.90549,Platinum-Group Metals Rhodium,147000.0
Ru,0.35280846153837125,,,,0,1,USGS,0.35,Ru,101.07,Platinum-Group Metals Ruthenium,10500.0
S,0.07652988175154755,0.18122816387598675,2.37,,8,5,"Echemi, Indiamart, Li 2017, Steinmann 2022, USGS","0.08, 0.19, 0.31, 0.47, 0.5",S,32.06,"S, Sulfur, Sulfur Sulfur",0.0926
Salt Cavern,,,,15.782601075017528,3,3,"ETI 2018, Lord 2014, Papadias 2021",nan,,,,
Sand,0.03181663394368802,0.42483589141157446,13.35,,1,4,"Alibaba, Diago 2018, Indiamart, Liu 2016","0.03, 0.06, 0.09, 0.91",SiO2,60.083,"Dune Sand, Sand",
Sb,4.469226172691964,5.622738471599932,1.26,,7,5,"Alibaba, ISE, Indiamart, Kim 2013, USGS","11.9, 19.21, 4.47, 7.09, 9.66",Sb,121.76,"Antimony Ingot, Antimony Metal, Sb",5.79
Sb2O3,6.393276825703955,4.075027427367247,0.64,,0,3,"Alibaba, ISE, Indiamart","14.11, 6.39, 7.98",Sb2O3,291.517,Antimony Trioxide,4.8620572
Sc,216383.42817943112,,,,1,1,USGS,216383.43,Sc,44.955908,"Scandium Mtl_Dendritic, Scandium Mtl_Ingot",3460.0
Sc2O3,815.3045435215616,2644.712904711297,3.24,,0,2,"DERA, USGS","4555.49, 815.3",Sc2O3,137.908816,"Scandium (oxide), Scandium Cmpds_Oxide",2255.8548751
ScCl3,153576.9885097369,,,,0,1,USGS,153576.99,ScCl3,151.305908,Scandium Cmpds_Chloride,1028.0904721
ScF3,266702.50552626717,,,,0,1,USGS,266702.51,ScF3,101.9511175,Scandium Cmpds_Fluoride,1526.8241872
ScI3,196409.9471685205,,,,0,1,USGS,196409.95,ScI3,425.669318,Scandium Cmpds_Iodide,396.7220654
Se,24.093815637957196,3.9100998350089755,0.16,,0,2,"ISE, USGS","24.09, 29.62",Se,78.971,"Selenium , Selenium Powder",21.4
SeO2,15.094469075769133,,,,0,1,ISE,15.09,SeO2,110.969,Selenium dioxides,15.2736989
SiO2,0.688207625521078,3.589549737584224,5.22,,3,3,"Alibaba, Indiamart, Steinmann 2022","0.69, 0.71, 6.92",SiO2,60.083,SiO2,0.8766572
Sm,16.47229075077895,,,,0,1,DERA,16.47,,,Samarium (metal),13.9
Sm2O3,3.9797394966352244,,,,0,1,DERA,3.98,,,Samarium (oxide),12.0080166
Sn,21.04398620700201,14.254496796967114,0.68,,7,7,"Alibaba, DERA, Huang 2021, Indiamart, Kim 2013, SMM, USGS","21.04, 24.2, 25.62, 26.28, 35.02, 49.43, 58.22",Sn,118.71,"SMM Tin Ingot, Sn, Tin LME, Tin NY, ZINN",18.7
Solar Salt,0.5190005123715541,0.2515128681021655,0.48,,1,5,"Antunez 2018, Diago 2018, Liu 2016, Olympios 2021, Steinmann 2022","0.52, 0.6, 0.62, 0.83, 1.14",NaNO3KNO3,186.0960693,"Molten Salt, Solar Salt, Solar salt",
Spherical Pressure,,,,61.4005,2,1,Tietze 2016,nan,,,,
Sr,8.085346417731376,,,,0,1,ISE,8.09,Sr,87.62,Strontium metal,6.605
SrCO3,1.0108963962041344,2.8065764517758307,2.78,,1,2,"Alibaba, Indiamart","1.01, 4.98",SrCO3,147.628,,3.9801865
Steel,0.6384608818131375,2.6321013653336207,4.12,,18,4,"Alibaba, Indiamart, Kale 2018, Singh Gill 2022","0.64, 1.6, 2.12, 6.57",Fe,55.845,"Carbon-Steel-1020, Stainless-Steel-15-7, Stainless-Steel-440C, Stainless-Steel-455, Steel-18Ni-300, Steel-4340",
Stone,0.015718727988057377,0.00982163923157348,0.62,,8,2,"Steinmann 2022, USGS","0.02, 0.03",Al2O5Si,162.0430768,"Basalt, Granite, Limestone, Sandstone, Stone (Crushed) Average",
Syenite,0.16220569651331165,,,,0,1,USGS,0.16,Al2KNaO8Si2 ,300.2131461,Feldspar and Nepheline Syenite Nepheline_syenite,
Syltherm XLT,35.48515131098533,,,,0,1,Alva 2018,35.49,,,Syltherm XLT,
TEMPO,6.536974796592933,,,,2,1,Liu 2019,6.54,C9H18NO2,172.248,"4-hydroxy-2,2,6,6-tetramethylpiperidin-1-oxyl (4-OH-TEMPO)",
Ta,334.77234564369866,89.09137565808909,0.27,,0,2,"ISE, SMM","334.77, 460.77",Ta,180.94788,"Tantalum Powders for metallurgy(Ta≥99.95%), Tantalum metal",305.0
Ta2O5,209.64927155804062,50.00773441600205,0.24,,0,4,"DERA, ISE, SMM, USGS","209.65, 210.27, 235.25, 294.4, 318.35",Ta2O5,441.89076,"TANTAL, Tantalum Conc., Tantalum pentoxide, Tantalum Pentoxide(Ta2O5≥99.5%), Tantalum Pentoxide(Ta2O5≥99.95%), Tantalum Ta2O5",249.8140627
Talc,0.31724392631852905,,,,0,1,USGS,0.32,H2Mg3O12Si4,379.259,Talc and Pyrophyllite  ,
Tb,2751.3726830708383,,,,0,1,DERA,2751.37,,,Terbium (metal),658.0
Tb4O7,2175.427762601904,,,,0,1,DERA,2175.43,,,Terbium (oxide),559.464896
TbO2,806.5572912350149,,,,0,1,USGS,806.56,TbO2,190.923354,Rare Earths TbO2,547.7476088
Te,66.51867080896687,164.2355199377423,2.47,,6,5,"Alibaba, DERA, ISE, Kim 2013, USGS","127.69, 447.99, 66.52, 70.03, 75.68",Te,127.6,"TELLUR, Te, Tellurium , Tellurium metal",63.5
Terpineol,17.155423538316857,,,,0,1,Huang 2021,17.16,,,Terpineol,
Th,87.47035169834201,,,,0,1,USGS,87.47,Th,232.0377,Thorium ,
Therminol VP1,5.921724678816853,,,,1,1,Steinmann 2022,5.92,,,Therminol VP1,
Ti,13.340337159590403,3.073378718428899,0.23,,3,3,"ISE, SMM, USGS","13.34, 13.41, 18.7",Ti,47.867,"Titan Sponge, Titanium pipe, Titanium plate, Titanium Sponge, Titanium and Titanium Dioxide Sponge",11.4
Ti2S4,98.55748047059987,,,,0,1,Li 2017,98.56,Ti2S4,223.974,Ti2S4,4.925762
TiCl4,1.3822997321695334,0.004603460935216546,0.0,,0,2,"ISE, SMM","1.38, 1.39",TiCl4,189.667,"Titanium tetrachloride, Titanium tetrachloride(99.9%)",2.9383678
TiO2,1.812066905544411,1.1426520741498933,0.63,,0,4,"DERA, ISE, SMM, USGS","1.81, 1.99, 2.26, 2.35, 4.61",TiO2,79.865,"Anatase Titanium Dioxide, High Titanium Slag(TiO2≥90%), Rutile Titanium Dioxide, Titanium Concentrate(TiO2≥46%), Titanium Concentrate(TiO2≥47%), TITAN, Titanium Dioxide, Titanium Mineral Concentrates Rutile, Titanium Mineral Concentrates Slag, Titanium and Titanium Dioxide Dioxide",6.8942777
TiS2,98.55748047059987,,,,3,1,Li 2017,98.56,TiS2,111.987,TiS2,4.925762
Tl,7627.894396714047,1241.169778237044,0.16,,6,2,"Kim 2013, USGS","7627.89, 9383.17",Tl,204.38,"Thallium Metal, Tl",4200.0
Toluene,0.34051247030034004,3.828507343015714,11.24,,1,4,"Chemanalyst, Echemi, Schnell 2020, Southhall 2022","0.34, 1.07, 1.24, 8.5","C7H6, C7H8",90.125,Toluene,
V,27.493721723078238,221.00035740565798,8.04,,3,5,"Alibaba, DERA, Indiamart, Ray 2021, SMM","27.49, 308.59, 41.49, 418.87, 516.89",V,50.9415,"VANADIUM, Vanadium, Vanadium (V)",371.0
V2O5,5.320507348442813,8.382764451803363,1.58,,6,4,"Alibaba, ISE, Indiamart, SMM","17.98, 20.57, 24.8, 5.32",V2O5,181.878,"Vanadium pentoxide( Flake V2O5>=98%), Vanadium pentoxides",207.8916209
VN,37.112613753254514,,,,0,1,SMM,37.11,VN,64.9485,Vanadium nitrogen alloy,291.0191533
VOSO4,18.121484154876256,,,,0,1,Li 2017,18.12,VOSO4,162.9965,VOSO4 4H2O,116.0428873
Vegetable Oil,0.3620933807243401,0.32320596512754535,0.89,,1,3,"Alva 2018, Antunez 2018, Steinmann 2022","0.36, 0.71, 1.01",C57H104O9,933.45,"Sunflower oil, Vegetable oil",
Vermiculite,0.41671351871549417,,,,0,1,Liu 2016,0.42,AlFeH3MgO6Si,234.2345384,Vermiculite,
W,28.93248065816717,9.74948532555788,0.34,,0,2,"DERA, ISE","28.93, 43.62, 47.38",W,183.84,"Tungsten powder, Tungsten scrap, Wolfram Bar, WOLFRAM",35.3
WO3,0.3611460284357461,15.559544578788117,43.08,,0,2,"ISE, USGS","0.36, 22.37",WO3,231.837,"Tungsten WO3, Tungsten oxides, Wolfram Ore",28.0237561
Water,0.0012319685058824984,0.0008357912815018478,0.68,,6,2,"Antunez 2018, Li 2017",0.0,H2O,18.015,"DI H2O, Water",
Water Reservoir Excavation,,,,43.15384615384616,1,2,"Black and Veatch 2012, Stocks 2021",nan,,,Pumped Hydro,
Xylene,8.38328363572417,,,,0,1,Huang 2021,8.38,,,Xylene,
Y,22.995088371176827,14.258714366700032,0.62,,0,2,"DERA, USGS","23.0, 43.16",Y,88.90584,"Yttrium (metal), Yttrium Metal, Yttrium Y2O3",31.0
Y2O3,12.620243430506353,,,,0,1,DERA,12.62,,,Yttrium (oxide),24.4434962
Zeolite,2.437142700366375,,,,0,1,Liu 2016,2.44,Al2O5Si,162.0430768,Zeolite,
Zn,0.5432344412907082,2.433172221242754,4.48,,24,7,"Alibaba, DERA, Indiamart, Kim 2013, Li 2017, SMM, USGS","0.54, 2.98, 3.33, 3.35, 3.7, 4.44, 8.64",Zn,65.38,"ZINK, Zinc , Zinc LME, Zinc-HX, Zinc-Ibis, Zinc-Nanhua, Zinc-Qilin (Guangdong), Zinc-Shuangyan, Zinc-Torch, Zirconium Sponge, Zn",2.55
Zn0.25V2O5,12.319685058824984,,,,0,1,Li 2017,12.32,Zn0.25V2O5,198.223,Zn0.25V2O5,190.9596363
ZnBr2,1.9218708691766975,0.46011002632258563,0.24,,1,3,"Alibaba, Indiamart, Li 2017","1.92, 2.66, 2.77",ZnBr2,225.188,ZnBr2,3.8557833
ZnCO3,2.0749978658926973,0.0733622530960173,0.04,,1,2,"Alibaba, Indiamart","2.07, 2.18",ZnCO3,125.388,,1.4002606
ZnCl2,1.0108963962041344,7.636884491383017,7.55,,3,4,"Alibaba, Alva 2018, Echemi, Indiamart","1.01, 1.42, 16.9, 2.63",ZnCl2,136.28,ZnCl2,1.266017
ZnI2,10.641014696885627,9.153351886287663,0.86,,1,2,"Alibaba, Indiamart","10.64, 23.59",ZnI2,319.18894,,28.3532127
ZnSO4,0.6633618291056619,0.15998062956847067,0.24,,1,3,"Alibaba, Indiamart, Li 2017","0.66, 0.9, 0.97",ZnSO4,161.436,ZnSO4 7H2O,1.112163
Zr,2.1652230295075907,20.989754256555166,9.69,,3,3,"DERA, ISE, USGS","12.64, 2.17, 42.61",Zr,91.224,"ZIRKON, Zirconium Sponge, Zirconium and Hafnium Zr_CN",36.4
Zr(CO3)2,4.020239499904654,,,,0,1,ISE,4.02,Zr(CO3)2,211.24,Zirconium Carbonates,15.8031971
ZrCl2H2O,2.700364861428935,,,,0,1,ISE,2.7,ZrCl2H2O,180.139,Zirconium Oxychloride,18.4947928
ZrO2,5.176689768465549,,,,1,1,ISE,5.18,ZrO2,123.222,Zirconium fused_cubic,26.9877237
ZrSO4,507.0682484550616,,,,0,1,USGS,507.07,ZrSO4,187.28,"Zirconium and Hafnium Zircon_AU, Zirconium and Hafnium Zircon_CN, Zirconium and Hafnium Zircon_import",17.7988987
ZrSiO4,1.9462356780765322,,,,0,1,ISE,1.95,ZrSiO4,183.305,"Zircon sand, Zirconium silicate",18.4291399
kyanite,0.4685841931567766,,,,0,1,USGS,0.47,Al2H6O5Si,168.0910768,Kyanite and Related Minerals FOB,
